CaseId,Project,SourceRevision,Module,TestName,PublishedPatch,OriginalBytes,OriginalSha256,PublishedBytes,PublishedSha256,Sanitization,shared_static_mutable_counter,non_atomic_compound_increment,unbounded_condition_wait,busy_spin_yield,missing_interrupt_path,entry_reset_without_exit_cleanup,entry_reset_can_erase_early_signal,production_code_test_hook,generic_helper_collision_surface,absolute_diff_header,unbraced_control_flow_capture
FS053,flaxsearch/luwak,c27ec08c803db6ca6be1b6e8017f45667e603161,luwak,uk.co.flax.luwak.matchers.TestPartitionMatcher#testParallelSlowLog,patches/generated/FS053/PartitionMatcher.java.patch,1354,017858ca2575f7cf14372286041de52883f85c8e7380e9720d53f06d0df78a29,1288,595b3ca2fff2d6c170edef8de58fba3a382df9527921c3511319c002b38d6e4c,private absolute root redacted; patch hunks unchanged,1,1,0,0,0,0,0,1,1,1,0
FS056,kagkarlsson/db-scheduler,4a8a28e60640dcd03e8d3bf212f483d35b0b6310,.,com.github.kagkarlsson.scheduler.compatibility.HsqlCompatibilityTest#test_compatibility,patches/generated/FS056/CompatibilityTest.java.patch,997,1f771a36d6b49ebe88ec270615755d4e601d4da0abdc6734e6283d66196e782e,931,1802ce6f6fcfb5a004eb0d94ac3e24551bccdc416a3972b0e350a4512f4a0d8e,private absolute root redacted; patch hunks unchanged,0,0,1,1,1,1,1,0,1,1,0
FS056,kagkarlsson/db-scheduler,4a8a28e60640dcd03e8d3bf212f483d35b0b6310,.,com.github.kagkarlsson.scheduler.compatibility.HsqlCompatibilityTest#test_compatibility,patches/generated/FS056/Scheduler.java.patch,1148,df5da7714e48aa0f2c1babd08f65b38147b7ca3218940f9ac69eabb68e043280,1082,20ad32b3d07ddae983519a78eeb12a9409e119ada168cede2dc65773fd2086f8,private absolute root redacted; patch hunks unchanged,1,1,0,0,0,0,0,1,1,1,0
FS057,nlighten/tomcat_exporter,bc6a2d2,client,nl.nlighten.prometheus.tomcat.TomcatServletMetricsFilterTest#testServletRequestMetrics,patches/generated/FS057/TomcatServletMetricsFilter.java.patch,1320,62d27cee2082a4488acc7335fdb5131295a56bc0f58b260b69cbcc26829deec5,1254,d44cc59c22bb52d7238af0a6d46800194fcfa2c858a5e0b408296d7ccea13ff1,private absolute root redacted; patch hunks unchanged,1,1,0,0,0,0,0,1,1,1,0
FS057,nlighten/tomcat_exporter,bc6a2d2,client,nl.nlighten.prometheus.tomcat.TomcatServletMetricsFilterTest#testServletRequestMetrics,patches/generated/FS057/TomcatServletMetricsFilterTest.java.patch,1455,fd9f543889f92e63fd9ceca6c3b0f272fb711ae9b6d4e5767ad93eb39029ae1c,1389,050b4bf13ba1620bf3799a811f63536e74401aaed2ad740c6c0c34d4336c613b,private absolute root redacted; patch hunks unchanged,0,0,1,1,1,1,1,0,1,1,0
FS018,apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-rpc/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest#testDemoProtocol,patches/generated/FS018/DubboProtocolTest.java.patch,1476,244669834e8f7dba6664aa3d289590348ddc3a472b27b1a238aa6b4527527f7a,1410,e94956a5b3fc70c2350aadc1986349a5229f986d870478880cd244e9f8e2dd2b,private absolute root redacted; patch hunks unchanged,0,0,1,1,1,1,1,0,1,1,0
FS018,apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-rpc/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest#testDemoProtocol,patches/generated/FS018/ExtensionLoader.java.patch,1363,95b9c2c905f7d41cae54d3dab57e68127c469080e40056e8b791fecf29fe5da9,1297,dd8aea891be16f9e1b5293b9098213f9b069da3b2bfc6c9a7e56dc46f48a9b59,private absolute root redacted; patch hunks unchanged,1,1,0,0,0,0,0,1,1,1,1
FS019,apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-rpc/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest#testNonSerializedParameter,patches/generated/FS019/DubboProtocolTest.java.patch,1568,b48d0b5d51e5f01eb5a7825768cdc3bc1870b93ee4ce394a38d4ccc774e25a1f,1502,369ad86e1faed3236a6c745f65ff727696e3fe499d50661c060e59e2c7a3ceb1,private absolute root redacted; patch hunks unchanged,0,0,1,1,1,1,1,0,1,1,0
FS019,apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-rpc/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest#testNonSerializedParameter,patches/generated/FS019/ExtensionLoader.java.patch,1363,00b6a5ce68b312b302e3bdc082bc0dc680e412a4bafba337574c7f5f00365d54,1297,d306e0683231071126405ab1ac345549cd8f7e93999d2248063f1570f55d0c81,private absolute root redacted; patch hunks unchanged,1,1,0,0,0,0,0,1,1,1,1
FS058,qos-ch/logback,0f57531977287fd3d8c9046e9f68e281715f3b10,logback-classic,ch.qos.logback.classic.net.SMTPAppender_GreenTest#testCustomBufferSize,patches/generated/FS058/SMTPAppenderBase.java.patch,1058,25e73128898468aad2b5ed3bf7895194efd2397b882e780b76b1082aad8cc4b6,992,4dad8d768674da964dfda630f8883d253e9bea8dc70a3e120d04952398e0ca65,private absolute root redacted; patch hunks unchanged,1,1,0,0,0,0,0,1,1,1,0
FS058,qos-ch/logback,0f57531977287fd3d8c9046e9f68e281715f3b10,logback-classic,ch.qos.logback.classic.net.SMTPAppender_GreenTest#testCustomBufferSize,patches/generated/FS058/SMTPAppender_GreenTest.java.patch,1136,3b5f0c8d072d9357748264e74173162fe557485ba34e7c27124cd72e382a2072,1070,3b8476619e3c8573f7e5daae50a3a749908d72337e897cf983b5ba584b6289d6,private absolute root redacted; patch hunks unchanged,0,0,1,1,1,1,1,0,1,1,0
FS059,qos-ch/logback,0f57531977287fd3d8c9046e9f68e281715f3b10,logback-classic,ch.qos.logback.classic.net.SMTPAppender_GreenTest#testCustomEvaluator,patches/generated/FS059/SMTPAppenderBase.java.patch,1058,392c722378a56150b3ee0235d760e261b1eee1aa71634bba34f73aa3e424e8c4,992,6eb50257ec5aa3526024c6dad2b066dbab8ad32358449231a20ee0eb8a819d6d,private absolute root redacted; patch hunks unchanged,1,1,0,0,0,0,0,1,1,1,0
FS059,qos-ch/logback,0f57531977287fd3d8c9046e9f68e281715f3b10,logback-classic,ch.qos.logback.classic.net.SMTPAppender_GreenTest#testCustomEvaluator,patches/generated/FS059/SMTPAppender_GreenTest.java.patch,1134,27b66b7052857dbbf669bb02d81603200a26cac4daa5fe0da06220fe3c430804,1068,ea5ba9d4e96828d0435d2cabfb3c0caf260493c9f05c716a0ed250786af23800,private absolute root redacted; patch hunks unchanged,0,0,1,1,1,1,1,0,1,1,0
